Date,Time,Spent Plant Feedrate(L/H)
31/12/2024 0:00,0:02:00,149.75
30/12/2024 0:00,0:02:00,-0.13
29/12/2024 0:00,0:02:00,-0.13
28/12/2024 0:00,0:02:00,-0.13
27/12/2024 0:00,0:02:00,-0.13
26/12/2024 0:00,0:02:00,-0.13
25/12/2024 0:00,0:02:00,-0.13
24/12/2024 0:00,0:02:00,-0.13
23/12/2024 0:00,0:02:00,-0.14
22/12/2024 0:00,0:02:00,145.8
21/12/2024 0:00,0:02:00,157.4
20/12/2024 0:00,0:02:00,130.54
19/12/2024 0:00,0:02:00,143.8
18/12/2024 0:00,0:02:00,155.3
17/12/2024 0:00,0:02:00,146.54
16/12/2024 0:00,0:02:00,141.6
15/12/2024 0:00,0:02:00,141.97
14/12/2024 0:00,0:02:00,135.4
13/12/2024 0:00,0:02:00,147.69
12/12/2024 0:00,0:02:00,144.64
11/12/2024 0:00,0:02:00,145.89
10/12/2024 0:00,0:02:00,148.45
09/12/2024 0:00,0:02:00,146.46
08/12/2024 0:00,0:02:00,146.52
07/12/2024 0:00,0:02:00,145.15
06/12/2024 0:00,0:02:00,149.41
05/12/2024 0:00,0:02:00,147.39
04/12/2024 0:00,0:02:00,148.59
03/12/2024 0:00,0:02:00,146.85
02/12/2024 0:00,0:02:00,146.17
01/12/2024 0:00,0:02:00,148.78
30/11/2024 0:00,0:02:00,147.41
29/11/2024 0:00,0:02:00,137.56
28/11/2024 0:00,0:02:00,144.11
27/11/2024 0:00,0:02:00,141.68
26/11/2024 0:00,0:02:00,110.68
25/11/2024 0:00,0:02:00,138.3
24/11/2024 0:00,0:02:00,148.63
23/11/2024 0:00,0:02:00,145.63
22/11/2024 0:00,0:02:00,134.99
21/11/2024 0:00,0:02:00,144.74
20/11/2024 0:00,0:02:00,143.98
19/11/2024 0:00,0:02:00,141.09
18/11/2024 0:00,0:02:00,142.93
17/11/2024 0:00,0:02:00,143.31
16/11/2024 0:00,0:02:00,95.61
15/11/2024 0:00,0:02:00,-0.16
14/11/2024 0:00,0:02:00,-0.17
13/11/2024 0:00,0:02:00,-0.17
12/11/2024 0:00,0:02:00,-0.16
11/11/2024 0:00,0:02:00,133.98
10/11/2024 0:00,0:02:00,149.64
09/11/2024 0:00,0:02:00,151.79
08/11/2024 0:00,0:02:00,145.51
07/11/2024 0:00,0:02:00,142.42
06/11/2024 0:00,0:02:00,140.68
05/11/2024 0:00,0:02:00,139.15
04/11/2024 0:00,0:02:00,-0.17
03/11/2024 0:00,0:02:00,146.12
02/11/2024 0:00,0:02:00,144.86
01/11/2024 0:00,0:02:00,145.39
31/10/2024 0:00,0:02:00,142.43
30/10/2024 0:00,0:02:00,142.82
29/10/2024 0:00,0:02:00,144.45
28/10/2024 0:00,0:02:00,145.48
27/10/2024 0:00,0:02:00,144.21
26/10/2024 0:00,0:02:00,143.27
25/10/2024 0:00,0:02:00,144.42
24/10/2024 0:00,0:02:00,144.27
23/10/2024 0:00,0:02:00,142.89
22/10/2024 0:00,0:02:00,142.89
21/10/2024 0:00,0:02:00,142.65
20/10/2024 0:00,0:02:00,147.14
19/10/2024 0:00,0:02:00,146.46
18/10/2024 0:00,0:02:00,141.52
17/10/2024 0:00,0:02:00,132.93
16/10/2024 0:00,0:02:00,149.53
15/10/2024 0:00,0:02:00,148.09
14/10/2024 0:00,0:02:00,148.45
13/10/2024 0:00,0:02:00,141.8
12/10/2024 0:00,0:02:00,141.74
11/10/2024 0:00,0:02:00,144.14
10/10/2024 0:00,0:02:00,105.53
09/10/2024 0:00,0:02:00,155.2
08/10/2024 0:00,0:02:00,-0.18
07/10/2024 0:00,0:02:00,152.87
06/10/2024 0:00,0:02:00,156.91
05/10/2024 0:00,0:02:00,153.79
04/10/2024 0:00,0:02:00,148.72
03/10/2024 0:00,0:02:00,152.92
02/10/2024 0:00,0:02:00,-0.17
01/10/2024 0:00,0:02:00,131.04
30/09/2024 0:00,0:02:00,149.82
29/09/2024 0:00,0:02:00,139.99
28/09/2024 0:00,0:02:00,140.97
