Outlook   Temp    Humidity   Windy  Pressure  UV_Index  Visibility  Play
Rainy     Hot     High       f      Low       High      Poor        no
Rainy     Hot     High       t      Medium    High      Moderate    no
Overcast  Hot     High       f      High      Medium    Good        yes
Sunny     Mild    High       f      Medium    High      Good        yes
Sunny     Cool    Normal     f      Low       Low       Moderate    yes
Sunny     Cool    Normal     t      Medium    Medium    Poor        no
Overcast  Cool    Normal     t      High      High      Good        yes
Rainy     Mild    High       f      Low       Medium    Poor        no
Rainy     Cool    Normal     f      Medium    Low       Good        yes
Sunny     Mild    Normal     f      High      High      Moderate    yes
Rainy     Mild    Normal     t      Medium    High      Poor        yes
Overcast  Mild    High       t      Low       Medium    Good        yes
Overcast  Hot     Normal     f      High      High      Good        yes
Sunny     Mild    High       t      Low       Low       Moderate    no
Cloudy    Hot     Normal     f      Medium    High      Poor        yes
Cloudy    Mild    High       t      High      Medium    Moderate    no
Rainy     Cool    High       f      Medium    High      Poor        no
Sunny     Hot     Normal     t      Low       Low       Good        yes
Overcast  Mild    Normal     f      High      Medium    Good        yes
Cloudy    Cool    High       f      Medium    High      Poor        no
Sunny     Hot     High       f      High      High      Moderate    no
Rainy     Mild    High       t      Low       Medium    Poor        no
Overcast  Cool    High       f      Medium    High      Good        yes
Cloudy    Mild    Normal     f      High      Medium    Good        yes
Sunny     Mild    Low        f      Medium    High      Moderate    yes
Rainy     Cool    Low        f      High      Low       Poor        yes
Cloudy    Hot     High       t      Medium    Medium    Good        no
Overcast  Hot     Low        f      Low       High      Moderate    yes
Sunny     Mild    High       t      High      Medium    Poor        no
Rainy     Hot     Normal     t      Low       High      Good        no
Cloudy    Mild    Normal     t      Medium    Low       Moderate    yes
Sunny     Cool    High       f      High      High      Good        yes
Rainy     Mild    Low        t      Medium    Medium    Poor        yes
Cloudy    Cool    Normal     f      Low       High      Moderate    yes
Overcast  Cool    Low        f      High      Medium    Good        yes
Sunny     Hot     Low        f      Medium    High      Poor        yes
Cloudy    Mild    High       f      Low       Medium    Good        no
Rainy     Mild    High       t      High      Low       Moderate    no
Sunny     Cool    Low        f      Medium    High      Poor        yes
